xc,yc
-167.99086,65.725975
-167.97656,65.732216
-167.98997,65.713844
-167.9757,65.72009
-167.9614,65.72633
-167.9471,65.73257
-167.9328,65.73881
-167.9891,65.70172
-167.97482,65.70796
-167.96053,65.7142
-167.94624,65.72044
-167.93195,65.726685
-167.91763,65.73292
-167.90332,65.73916
-167.889,65.74539
-167.8747,65.751625
-167.86037,65.75786
-167.97395,65.69584
-167.94537,65.70832
-167.93109,65.71456
-167.91678,65.720795
-167.90248,65.727036
-167.88817,65.73327
-167.87386,65.7395
-167.85953,65.745735
-167.84521,65.75197
-167.83087,65.758194
-167.81654,65.76442
-167.93024,65.70243
-167.91594,65.70867
-167.90164,65.714905
-167.88733,65.721146
-167.87302,65.72738
-167.8587,65.73361
-167.84439,65.739845
-167.83006,65.74607
-167.81572,65.752304
-167.80139,65.75853
-167.78705,65.764755
-167.7727,65.77098
-167.74399,65.783424
-167.82924,65.73395
-167.81491,65.74018
-167.80058,65.74641
-167.78624,65.75263
-167.7719,65.75886
-167.75755,65.76508
-167.74321,65.77131
-167.72885,65.77753
-167.71448,65.783745
-167.70012,65.78996
-167.79977,65.73428
-167.72806,65.7654
-167.7137,65.77163
-167.69934,65.77785
-167.68497,65.784065
-167.6706,65.79028
-167.65622,65.79649
-167.999,65.63483
-167.72728,65.75329
-167.71292,65.75951
-167.69856,65.765724
-167.6842,65.77194
-167.66983,65.77816
-167.65546,65.78438
-167.64108,65.79059
-167.6267,65.79681
-167.6123,65.80302
-167.58351,65.81544
-167.99812,65.62269
-167.98387,65.62894
-167.96962,65.635185
-167.95535,65.641426
-167.9411,65.647675
-167.92682,65.653915
-167.91255,65.66016
-167.88399,65.67263
-167.79816,65.71004
-167.78384,65.71626
-167.7265,65.741165
-167.71214,65.74738
-167.6978,65.75361
-167.68344,65.75983
-167.66907,65.766045
-167.65471,65.772255
-167.61157,65.7909
-167.59718,65.79711
-167.58278,65.80332
-167.56837,65.809525
-167.55397,65.815735
-167.52515,65.82814
-167.51073,65.83434
-167.4963,65.840546
-167.99725,65.61055
-167.983,65.6168
-167.96875,65.62305
-167.9545,65.629295
-167.94023,65.63554
-167.92598,65.641785
-167.9117,65.648026
-167.89743,65.65427
-167.88315,65.6605
-167.86887,65.66674
-167.85457,65.67297
-167.82597,65.68545
-167.81166,65.69167
-167.79735,65.69791
-167.78304,65.70414
-167.7687,65.710365
-167.75438,65.71659
-167.71136,65.73526
-167.69702,65.741486
-167.68266,65.7477
-167.6683,65.75392
-167.65395,65.76014
-167.58205,65.7912
-167.56766,65.79741
-167.55325,65.80362
-167.53885,65.80982
-167.52443,65.816025
-167.51003,65.82223
-167.4956,65.82843
-167.48117,65.83463
-167.46674,65.84083
-167.4523,65.84703
-167.43787,65.853226
-167.42342,65.85942
-167.40897,65.86561
-167.99637,65.59841
-167.98213,65.60466
-167.9679,65.61091
-167.95364,65.61716
-167.93938,65.623405
-167.92513,65.62965
-167.91086,65.63589
-167.89659,65.64213
-167.88231,65.64837
-167.86803,65.65461
-167.85374,65.66084
-167.83945,65.66708
-167.82515,65.67332
-167.81085,65.67955
-167.79654,65.685776
-167.78223,65.69201
-167.76791,65.698235
-167.7536,65.70447
-167.73927,65.71069
-167.6819,65.73558
-167.66756,65.7418
-167.56693,65.78529
-167.55254,65.7915
-167.53813,65.79771
-167.52373,65.80391
-167.50931,65.81011
-167.4949,65.816315
-167.48047,65.82252
-167.46605,65.82872
-167.45161,65.834915
-167.43718,65.84111
-167.42273,65.847305
-167.4083,65.8535
-167.39383,65.859695
-167.37938,65.86588
-167.36491,65.87207
-167.33597,65.884445
-167.32149,65.89063
-167.307,65.89682
-167.9955,65.58627
-167.98126,65.59252
-167.96703,65.59877
-167.95277,65.60502
-167.93852,65.61127
-167.92427,65.61751
-167.91002,65.62376
-167.89575,65.63
-167.88147,65.63624
-167.8672,65.64247
-167.85292,65.64871
-167.83864,65.654945
-167.82434,65.66119
-167.81004,65.66742
-167.79575,65.67365
-167.78143,65.67988
-167.76712,65.68611
-167.7528,65.69234
-167.73848,65.69856
-167.72415,65.70479
-167.70982,65.71101
-167.69548,65.71723
-167.56621,65.77317
-167.5518,65.77938
-167.53741,65.78559
-167.52301,65.791794
-167.5086,65.798
-167.47978,65.8104
-167.46536,65.816605
-167.45093,65.8228
-167.4365,65.828995
-167.42206,65.8352
-167.40762,65.841385
-167.39317,65.84758
-167.37872,65.853775
-167.36426,65.85996
-167.3498,65.86615
-167.33533,65.87234
-167.32085,65.878525
-167.30637,65.88471
-167.29189,65.89089
-167.27739,65.89708
-167.26291,65.90326
-167.2339,65.91561
-167.21939,65.92179
-167.17583,65.94031
-167.1322,65.95882
-167.99463,65.574135
-167.9804,65.58038
-167.96616,65.58663
-167.95192,65.59288
-167.93768,65.59913
-167.92343,65.60538
-167.90916,65.61162
-167.89491,65.61786
-167.88065,65.6241
-167.86636,65.63034
-167.8521,65.63658
-167.83781,65.642815
-167.82353,65.64905
-167.80923,65.65529
-167.79494,65.661514
-167.78064,65.66775
-167.76633,65.67398
-167.75201,65.68021
-167.7377,65.68643
-167.72337,65.69266
-167.70905,65.69888
-167.69472,65.70511
-167.68037,65.71133
-167.55109,65.76726
-167.5367,65.77347
-167.52231,65.77968
-167.5079,65.78588
-167.4935,65.79208
-167.47908,65.79829
-167.45024,65.810684
-167.43582,65.81689
-167.42139,65.82308
-167.40695,65.82928
-167.3925,65.83547
-167.37805,65.84166
-167.3636,65.847855
-167.34914,65.85404
-167.33469,65.86023
-167.3202,65.86642
-167.30574,65.872604
-167.29126,65.878784
-167.27676,65.88497
-167.26228,65.89115
-167.24779,65.89733
-167.23329,65.90351
-167.21878,65.90968
-167.20427,65.91586
-167.18976,65.922035
-167.17523,65.92821
-167.1607,65.93438
-167.14616,65.94055
-167.13164,65.94672
-167.1171,65.95288
-167.10254,65.95905
